1264,박진우,97,02-0690-3108,F,김수빈,031-388-9023,자녀,380904-1226708,xx-xxxxx-xxx,부산,서울시 강남구 ??동,70,37,127,True,좋은 집,1264,1264,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.JT,False,True,False,False,True,False,True,True,True,True,1264,1264,이후에 format 수정
1265,문춘자,83,019-032-2374,M,김지은,064-777-0440,자녀,310224-2115264,xx-xxxxx-xxx,광주,서울시 강남구 ??동,70,37,127,False,좋은 집,1265,1265,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.OR,False,True,False,False,False,False,True,False,False,True,1265,1265,이후에 format 수정
1266,이예진,86,070-9560-3813,F,이현우,017-290-1112,자녀,980504-2261007,xx-xxxxx-xxx,경남,서울시 강남구 ??동,70,37,127,False,좋은 집,1266,1266,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.VL,True,True,True,False,False,True,False,False,True,False,1266,1266,이후에 format 수정
1267,이서영,95,033-766-9571,F,이지원,032-401-8965,자녀,140625-2035065,xx-xxxxx-xxx,제주,서울시 강남구 ??동,70,37,127,True,좋은 집,1267,1267,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.VL,False,False,False,False,True,False,True,True,False,False,1267,1267,이후에 format 수정
1268,장영환,91,011-644-3078,M,이춘자,043-636-0271,자녀,230809-1078792,xx-xxxxx-xxx,토스,서울시 강남구 ??동,70,37,127,False,좋은 집,1268,1268,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.DDDGG,False,False,False,False,False,False,False,True,False,True,1268,1268,이후에 format 수정
1269,이지은,76,054-947-5291,M,하지원,02-1284-5041,자녀,540328-2608350,xx-xxxxx-xxx,농협,서울시 강남구 ??동,70,37,127,True,좋은 집,1269,1269,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.APT,False,False,False,False,True,True,True,True,True,False,1269,1269,이후에 format 수정
1270,김정순,68,061-831-7325,M,구은서,044-495-3056,자녀,800317-1398241,xx-xxxxx-xxx,광주,서울시 강남구 ??동,70,37,127,False,좋은 집,1270,1270,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.OR,False,False,True,False,False,True,True,False,True,False,1270,1270,이후에 format 수정
1271,박영순,75,063-611-7633,F,장정훈,018-480-7045,자녀,810806-2572333,xx-xxxxx-xxx,대구,서울시 강남구 ??동,70,37,127,False,좋은 집,1271,1271,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.OPST,True,False,True,False,True,True,False,True,True,True,1271,1271,이후에 format 수정
1272,박성진,89,019-782-1515,M,장채원,041-205-0290,자녀,000411-1855462,xx-xxxxx-xxx,농협,서울시 강남구 ??동,70,37,127,False,좋은 집,1272,1272,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.VL,True,False,False,False,False,True,False,False,False,False,1272,1272,이후에 format 수정
1273,유정희,65,061-014-2454,M,이광수,053-583-2113,자녀,540416-1802732,xx-xxxxx-xxx,대구,서울시 강남구 ??동,70,37,127,True,좋은 집,1273,1273,False,False,False,False,True,False,False,True,True,True,False,True,True,True,BuildingType.OR,False,False,False,False,True,False,True,True,False,True,1273,1273,이후에 format 수정
